Total Cost,Item,Cost/Unit,Quantity,Supplier,Shipping/Additional,Tax,SS,Link (if applicable)
27.26,PCB,27.26,1,JLCPCB,11.55,3.95,,
2.5,M5 Bolts (8mm),2.5,1,AliExpress,1.23,,,https://www.aliexpress.com/item/3256809207500690.html?spm=a2g0o.cart.0.0.571c38dafmfsa5&mp=1&pdp_npi=6%40dis%21USD%21USD%203.09%21USD%202.50%21%21USD%202.50%21%21%21%40210311a017793423528075391e8849%2112000048962946462%21ct%21US%217472230795%21%211%210%21
3.48,M5 Nuts,3.48,1,AliExpress,,,,https://www.aliexpress.com/item/3256804551023681.html?spm=a2g0o.cart.0.0.571c38dafmfsa5&mp=1&pdp_npi=6%40dis%21USD%21USD%203.55%21USD%203.48%21%21USD%203.48%21%21%21%40210311a017793423528075391e8849%2112000030291402105%21ct%21US%217472230795%21%211%210%21
5.48,Hex Key Set,5.48,1,AliExpress,,,,https://www.aliexpress.com/item/3256805680728086.html?spm=a2g0o.cart.0.0.571c38dafmfsa5&mp=1&pdp_npi=6%40dis%21USD%21USD%2011.19%21USD%205.48%21%21USD%205.48%21%21%21%40210311a017793423528075391e8849%2112000034631906675%21ct%21US%217472230795%21%211%210%21
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Grand Total (USD):,55.45,,,,,,
